,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
1,5km,mudslide,downpour,small,other,0.0,,United States,36619.0,-122.663,45.42
2,10km,landslide,downpour,large,other,10.0,,Peru,14708.0,-75.3587,-11.1295
4,5km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,798634.0,123.8978,10.3336
5,5km,landslide,downpour,medium,other,0.0,,Philippines,2404.0,124.9668,10.7004
6,5km,mudslide,downpour,small,other,0.0,,United States,2126.0,-117.2665,48.2797
7,10km,complex,tropical_cyclone,medium,other,3.0,,Mexico,3191.0,-107.62200000000001,24.9531
8,5km,mudslide,rain,medium,other,,,United States,2689.0,-114.4194,43.6846
9,10km,complex,downpour,medium,other,2.0,,China,0.0,100.0845,23.89
10,25km,complex,downpour,medium,other,4.0,,China,1023674.0,102.695,25.0967
11,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,12883.0,-122.8178,45.8647
12,10km,mudslide,rain,small,other,0.0,,United States,4864.0,-122.0704,45.376999999999995
14,5km,landslide,downpour,medium,other,0.0,1.0,Philippines,6721.0,124.0419,12.5655
15,10km,mudslide,rain,small,other,0.0,,United States,583776.0,-122.67,45.521
16,1km,landslide,rain,small,other,0.0,,United States,1150.0,-83.071,35.507
17,5km,landslide,rain,small,other,0.0,,United States,1895.0,-122.89299999999999,46.11
18,5km,mudslide,rain,small,other,0.0,,United States,6335.0,-122.334,47.431999999999995
19,5km,landslide,downpour,medium,other,0.0,,United States,1347.0,-121.75,48.538000000000004
20,1km,mudslide,rain,small,other,0.0,,United States,6441.0,-122.2,48.72
21,5km,mudslide,unknown,small,other,0.0,,United States,11925.0,-122.90899999999999,46.1299
22,5km,complex,rain,small,other,0.0,,United States,22699.0,-122.273,47.538000000000004
23,5km,mudslide,rain,small,other,0.0,,United States,3324.0,-122.037,48.928999999999995
25,1km,mudslide,rain,small,other,0.0,,United States,33505.0,-122.2072,47.7573
26,10km,landslide,rain,medium,other,0.0,,Malaysia,570407.0,110.3442,1.531
27,25km,landslide,rain,medium,other,4.0,,Indonesia,0.0,116.662,-8.5073
29,5km,landslide,downpour,medium,other,2.0,,Brunei,64409.0,115.0668,5.031000000000001
30,50km,landslide,downpour,medium,other,2.0,,Mexico,12294193.0,-99.1276,19.4271
31,5km,mudslide,downpour,medium,other,2.0,,Italy,959470.0,14.252,40.8403
32,10km,landslide,downpour,medium,other,0.0,,India,46427.0,88.2788,26.8826
33,5km,mudslide,rain,small,other,0.0,,United States,10917.0,-118.05,34.162
34,10km,landslide,downpour,medium,other,0.0,,India,46427.0,88.3143,26.8572
35,5km,landslide,downpour,medium,other,2.0,,Philippines,0.0,123.226,9.29
36,10km,landslide,downpour,medium,other,2.0,,Philippines,4164.0,121.56,14.545
37,1km,mudslide,downpour,small,other,0.0,,United States,1463.0,-79.4305,37.9137
38,5km,complex,downpour,small,other,0.0,,Australia,19972.0,145.9063,-41.0528
39,50km,landslide,monsoon,medium,other,3.0,,Nepal,200000.0,83.9806,28.2039
40,25km,landslide,monsoon,medium,other,2.0,,Nepal,0.0,84.2279,27.9447
41,5km,landslide,downpour,medium,other,6.0,,Japan,116925.0,131.5729,34.0496
43,10km,landslide,downpour,medium,other,2.0,,Japan,1143841.0,132.4592,34.3852
44,5km,landslide,downpour,medium,other,6.0,,China,0.0,103.5868,31.483
45,1km,landslide,downpour,medium,other,0.0,,India,1464.0,88.527,27.478
46,25km,landslide,monsoon,large,other,13.0,,Nepal,1600.0,85.71,28.0
47,50km,landslide,monsoon,medium,other,5.0,,Nepal,21867.0,83.8791,28.1046
48,10km,mudslide,downpour,medium,other,,,United States,2369.0,-132.7269,56.5561
49,5km,mudslide,downpour,medium,other,,,United States,2369.0,-132.7348,56.5692
50,5km,mudslide,downpour,medium,other,,,United States,2369.0,-132.5617,56.5787
51,1km,mudslide,downpour,small,other,0.0,,United States,6651.0,-122.5562,47.2846
52,25km,landslide,downpour,medium,other,0.0,,Indonesia,31352.0,109.9187,-7.571000000000001
54,5km,mudslide,downpour,small,other,0.0,,United States,167674.0,-85.3697,35.0672
55,5km,mudslide,downpour,small,other,0.0,,United States,7554.0,-85.3361,35.1052
56,25km,mudslide,downpour,large,other,22.0,28.0,Brazil,153635.0,-44.32249842,-23.01374445
57,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,3742.0,-123.1587,45.2335
58,1km,landslide,downpour,medium,other,0.0,,Brazil,456456.0,-43.07409842,-22.89234445
59,25km,landslide,downpour,medium,other,0.0,,India,15118.0,94.48214677,25.3098633
60,5km,landslide,downpour,medium,other,0.0,,Pakistan,2005.0,74.8609,36.6567
61,25km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,48638.0,123.9153,10.395
62,25km,landslide,rain,medium,other,1.0,,India,32442.0,79.6367,29.7334
63,25km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,7779.0,123.72,10.57
64,10km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,2968.0,123.98,10.77
65,10km,mudslide,downpour,very_large,other,0.0,,Brazil,153361.0,-42.6018,-22.2331
66,25km,landslide,rain,medium,other,2.0,,India,14711.0,74.3333,33.8778
67,1km,mudslide,downpour,small,other,0.0,,United States,2386.0,-73.0562,44.9378
68,50km,landslide,downpour,medium,other,0.0,,India,17123.0,78.7963,30.7666
70,5km,landslide,rain,medium,other,0.0,,Philippines,798634.0,123.8725,10.335
71,25km,landslide,downpour,medium,other,0.0,,Nepal,23296.0,83.2934,28.3683
72,5km,landslide,downpour,medium,other,0.0,,Nepal,23693.0,83.2934,28.0889
74,50km,landslide,downpour,medium,other,0.0,,India,17123.0,78.5925,30.7652
